,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,desc,Price_sqft
58,6380000,"Chhatarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR",1170,28.49589348,77.18599701,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Nearby SKY MANSION BUILDING CSKM PUBLIC SCHOOL Chhatarpur Metro statio,Flat,"
                    
                    
                    
                       Spacious uptodate Near SKY MANSION BUILDING Boking open 80 lon 2 Bhk 45 lakh 3 Bhk70 lakh available builder floor  in new Dehli D  L F chattarpur band rod  second avenue . Surrounded by Reputed Schools ,Pvt.
                    
                ",5452.991453
62,19000000,"Dwarka, New Delhi - Dwarka, Delhi NCR",1768,28.59343183,77.04427276,3,2,,Ready to Move,Resale,2,,2,Opposite Bensups hospital; 500 meters walk from Metro station.,Flat,"


                                The balcony of the drawing room and of one of the bedrooms open towards a park and a side road with lush green trees. The balcony of the other bedroom opens towards the stretch towards the main gate.The property is just opposite Bensups hospital. It is walking distance  of 500 meters from Sector 12 metro station, is at a stones throw from the main market.
                            
more

",10746.60633
80,10000000,"Paschim Vihar, New Delhi - West, Delhi NCR",1000,28.6677244,77.0979515,2,2,,Ready to Move,Resale,,Unfurnished,,,Individual House,"


                                Ideal for any nuclear family or couples, here is the most fantastic 2BHK flat up for sale and is located in one of the prime residential suburbs of Paschim Vihar, New Delhi. So, without any further delay, seize this property as early as possible to lead a plush & tranquil lifestyle with your treasured family…!Property Specifications Spanning across 1000sqft of a super area, this charming flat is completely ready to move in and is comfortably rested on the 3rd floor of the 4-storeyed building thus receives ample sunlight & air throughout the day.Masterfully planned, this unfurnished flat encompasses 2 bedrooms, 2 bathrooms, a living cum dining area, PNG gas connection, cemented flooring and a regular kitchen with a granite platform & sink unit. Both the bedrooms are well-sized that gives you the flexibility of decorating the interiors as per your choices & taste. Among the 2 western style bathrooms, 1 is attached and the other is for common usage.FacilitiesCommon parking space is allotted for this residence to accommodate your vehicles systematically. A sufficient amount of water supply for 24hours is provided in this flat. Security guard is appointed to keep a close watch on this society.LocalityYou can find numerous leading schools within a radius of 1km to provide the best education to your kids. Many notable hospitals are accessible within 1km for any medical assistance. Also, the market is available within 1km to buy your essentials and daily requirements.Plenty of major banks and ATM centers are found within 1km to meet your monetary services. To commute to other parts of the city conveniently, you can access the metro station at a distance of 2kms and several means of transportation like autos, buses & taxis within the short range from this residential property.

more

",10000
81,4500000,"A33 Shishram park Uttam Nagar, Uttam Nagar East, New Delhi - West, Delhi NCR",1000,28.63472366,77.04911041,3,2,1,Ready to Move,Resale,1,Semi-Furnished,,New Holy Public School,Flat,"


                                Selling a beautiful and spacious 3BHK in excellent condition with two large bathrooms and a big kitchen and a car parking.It is situated within 1km of Uttam Nagar East metro station and the market is also very close by.There is also a spacious balcony that provides ample light in the house and on the backside there is a small open space for complete crossventilation.
                            
more

",4500
85,32500000,"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",3000,28.4969141,77.1652546,3,3,2,Ready to Move,Resale,2,,1,Near Sultanpur Metro Station,Flat,"
                    
                    
                    
                       3 BHK Apartment available for Sale in Sultanpur
                    
                ",10833.33333
87,3200000,"Gali no 4, behind Aman bakery, Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",650,28.59803581,77.07652283,2,2,1,Ready to Move,Resale,,Unfurnished,,,Flat,"
                    
                    
                    
                       It's a 1st floor Builder Floor Apartment in a building of total 4 floors. The Builder Floor Apartment construction is more than 5 to 10 years old.
                    
                ",4923.076923
96,9000000,"panchwati appartments, Vikaspuri, New Delhi - West, Delhi NCR",1250,28.64015875,77.0662659,2,2,2,Ready to Move,Resale,,,,near Gurudwara h block vikaspuri,Individual House,"
                    
                    
                    
                       open from all sides. comes with roof rights . ready to move in
                    
                ",7200
97,14000000,"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden, New Delhi - East, Delhi NCR",2500,28.68651581,77.29942322,3,2,1,Ready to Move,Resale,2,Semi-Furnished,,Nearby GTB Hospital. 1.5 km from the Jhilmil Metro Station,Flat,"


                                Strategically located with all the required social amenities within a radius of 500mtrs, this 3 BHK flat located in New Delhi is up for sale. The property is situated in a prime location along with an excellent connectivity to other major parts of the city. Also, the property comes with some top amenities to ensure the residents have a good living experience. The property is a perfect choice for families having small children and senior citizens.Property SpecificationsThe flat is located on the 2nd floor of the 3 storey building and is a Vaastu compliant property facing in the prominent north-east direction. The flat comes completely furnished along with wardrobes, beds, dining table, TV unit, tables and chairs.The flat features 3 bedrooms with 2 attached bathrooms (both western fashioned) along with geyser facilities in both. Then, there is a balcony attached to both the bedrooms overlooking the main road and the surroundings. Also, a study room is available where you can do your office work peacefully without any disturbances. The living cum dining area of this flat is a perfect place for getting the whole family together and have some quality time together. To ensure the lady of the house gets a comfortable and a good cooking experience, the modular kitchen comes with a granite platform, a sink and covered cabinets. Further, shiny vitrified tiles have been used for flooring as they are more durable and make the flat look more beautiful.FacilitiesThe flat has been provided with facilities such as a 24*7 water supply so that there are no water shortages, a 100% power backup, security guards along with CCTV cameras for safety purposes and an open parking space for safe parking of vehicles.AmenitiesTo ensure the residents have a good living experience, top amenities such as gymnasium, jogging and strolling track, outdoor tennis courts, park, club house, banquet hall, cafeteria/food court and conference room are provided. Further, air conditioned, intercom facility, internet/wi-fi connectivity, piped gas connection, water storage, visitor parking, waste disposal, laundry service and maintenance staff are also available. LocalityWell known schools, hospitals, malls/supermarkets and banks/ATMs are all available within a radius of 500mtrs from this property where you can get their respective services. Further, both public and public transports can be easily accessed within the proximity of the property for getting to other major parts of the city. Also, the metro station is located at a distance of 1km from this property.
                            
more

",5600
108,18000000,"Eastend Aptts, Mayur Vihar 1, New Delhi - East, Delhi NCR",1700,28.5884566,77.304787,4,3,1,Ready to Move,Resale,1,,2,nearby New Ashok Nagar Metro station,Individual House,"


                                A very low maintenance cost with all facilities such as Mother Dairy, Gym, Physiotherapy Center, Temple, Parks, BSES electricity and 24 hours water supply. The buses of almost all the nearby schools, including Noida, pick up the children from the gate of the society.
                            
more

",10588.23529
109,17200000,"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",2025,28.58584227,77.06062479,3,2,4,Ready to Move,Resale,2,,2,near inderprastha international school,Flat,"


                                This is a spacious 3 bed rooms  and 3 washrooms flat in a very well maintained society near market available for sale in sector 10 Dwarka, Delhi. It is located in IIT Engeneers apartment, which is a very good society  near sector 6 and 10 market  It is an ideal accommodation for family.  It has facilities like intercom facility, lifts, maintenance staff, park, visitor parking, water storage and security fire alarm. Good schools, market and  metro station is within walking distance. Sports complex is within walking distance.
                            
more

",8493.82716
110,17000000,"Moti Nagar, New Delhi - West, Delhi NCR",1600,28.66662979,77.15222168,3,2,2,Ready to Move,Resale,2,Semi-Furnished,3,Near by CTC mall,Flat,"
                    
                    
                    
                       3 BHK well orgnised society in central delhi welome for all aged people near by metro hospital bus terminal. everything near by.
                    
                ",10625
114,7000000,"Sanjiv Malhotra D-2, 208/209, Ground Floor Sector-11, Rohin, New Delhi- 110085, Sector 11 Rohini, New Delhi - Rohini, Delhi NCR",559,28.7295315,77.106949,2,2,,Ready to Move,Resale,,Unfurnished,,,Individual House,"
",12522.36136
116,7500000,"Paschim Vihar, New Delhi, Paschim Vihar, New Delhi - West, Delhi NCR",700,28.66287399,77.09776702,2,2,,Ready to Move,Resale,1,,,Opposite shiv Mandir,Flat,"
                    
                    
                    
                       3 Side Corner, 2 BHK Freehold, Clear Title, Top Grade Construction and Interiors, Superior Storage Space, Ample Parking, Clean and Green Society
                    
                ",10714.28571
118,4600000,"Uttam Nagar West, New Delhi - West, Delhi NCR",1000,28.618239,77.054361,3,2,,Under Construction,New Property,1,,1,,Flat,"


                                Fully Furnished Builder Floor in Uttam Nagar, Freehold Property, Reserved Parking, Ample space for visitor parking, Bathroom with modern facilities, Complete lights in all room, Wooden Almirah bedroom, Separate Electric and water meter, Separate Water Tank at roof, electronic door lock system with Intercom facility, Wall to Wall POP work, Fall Ceiling work in Drawing room, royal paint work in all room, Texture Paint in all room, 24 x 7 running water, branded electric fitting, Modular Kitchen with electronic chimney, Marble, Vitrified Tile flooring, bedroom with balcony, Near to Metro Station, well connected to main road etc, Home Loan available, Ready to Move.

more

",4600
124,20000000,"DLF Capital Greens Phase 1, Moti Nagar, New Delhi - West, Delhi NCR",1650,28.666059,77.150134,3,3,4,Ready to Move,Resale,1,,,near kirti Nagar and punjabi bagh,Flat,"


                                Newly constructed 3 BHK Flat located in one of the elite neighbourhood in DLF Capital Greens, Moti Nagar, New Delhi is up for sale. Nestled in beautiful surroundings, this flat is positioned on the 15th floor of a building of total 30 floors and is absolutely ready to move in.Property SpecificationsFully Vaastu approved, this flat is basked in the glory of pleasant and tranquil atmosphere providing you a beautiful and spacious accommodation. Due to Vaastu compliance, the ambiance of the flat is peaceful and filled with an abundance of positive energy. Also, the airy and light-filled inte
                            
more

",12121.21212
125,3200000,"895., Mehrauli, New Delhi - South, Delhi NCR",800,28.5201861,77.179158,2,2,1,Ready to Move,New Property,,Unfurnished,,"Near y by chhatarpur metro station ,park,Bank Atm, Gym.",Flat,"


                                Facing the auspicious east direction, this newly constructed 2BHK builder floor situated in Mehrauli, New Delhi is up for sale. Strategic location, attractive interiors and freehold ownership rights are some of the major highlights of this property.Property SpecificationsVaastu friendly, this builder floor situated on the 1st floor of a 4 storeyed building is abundantly blessed with natural light and fresh air, therefore, you need not depend on the artificial lighting during the day time.Ready to move in and semi-furnished, this builder floor comprises 2 bedrooms, 2 bathrooms, 1 balcony, a living cum dining room and a semi-modular kitchen. Both the well-maintained bedrooms are furnished with dressing tables and wardrobes.Appointed with western sanitary fittings, one of the bathrooms is attached to the bedroom whereas the other bathroom is common. For uninterrupted hot water supply, geysers are fitted in these bathrooms. Offering views of the main road and surroundings, the balcony is linked with the bedroom. Furthermore, the entire builder floor is adorned with granite flooring. FacilitiesPrime facilities such as one covered parking space and 24 hours water supply are available. Tight security is ensured and CCTV cameras have been installed for more safety. LocalityVarious modes of public transport such as buses, autos and taxis are immediately available, hence commuting is not a problem. Well known schools and hospitals are situated within a short distance of 1km from this property. The market is just 200 meters away for all your daily needs and banks/ATMs are also present within proximity.
                            
more

",4000
126,8500000,"Near Dashmesh Hospital, Jail Road, Shiv Nagar, New Delhi - West, Delhi NCR",1100,28.6288025,77.0958556,2,2,,Ready to Move,Resale,1,Furnished,,,Flat,"
",7727.272727
132,12000000,"Lajpat Nagar, New Delhi, Lajpat Nagar 4, New Delhi - South, Delhi NCR",1250,28.564363,77.24171,2,2,2,Ready to Move,Resale,2,,0,mool chand metro station,Flat,"
                    
                    
                    
                       close to ring road, moolchand metro station
                    
                ",9600
134,11000000,"Vasundhara Enclave, New Delhi - East, Delhi NCR",1200,28.6017251,77.3178069,3,2,,Ready to Move,Resale,,Furnished,,,Flat,"
",9166.666667
147,3600000,"Plot No.1, Gadaipur, Mehrauli-Mandi Road, Gadaipur, New Delhi - South, Delhi NCR",750,28.4826489,77.1600563,2,2,2,Ready to Move,Resale,1,Semi-Furnished,1,The property is about 3km from Chattarpur Metro and Sultanpur Metro.,Flat,"


                                The flat is with east facing balcony and with full of positive vibes and energy. It is at upper ground floor of the building. There is lift and 24hr free water supply. It is a gated property with covered car parking and security. It is about 300 km from the main road and the access road to the property is concrete and without any encroachment. There are schools and markets in the near vicinity.
                            
more

",4800
156,16000000,"Dwarka Sector 22, New Delhi, Sector 22 Dwarka, New Delhi - Dwarka, Delhi NCR",1750,28.5593993,77.0596789,3,2,3,Ready to Move,Resale,2,,2,Near metro station sector-21,Flat,"
                    
                    
                    
                       3 bedroom exclusive furnished flat available for sell in dwarka sector 22,  all work is test fully done.. all maintenance staff are available in this society. good surrounding, easy connectivity.
                    
                ",9142.857143
160,17500000,"Moti Nagar, New Delhi, Moti Nagar, New Delhi - West, Delhi NCR",1600,28.66605949,77.15013123,3,2,3,Ready to Move,Resale,1,Unfurnished,4,near- CTC mall,Individual House,"


                                A perfect fusion of style, class, and elegance, this splendid 3BHK flat nestled in DLF Capital Greens, Moti Nagar, New Delhi is worth buying. Modern construction, spacious rooms and prime location are some of the major highlights of this abode. So, without any delay grab this deal!!!Note - Flats ranging from 1.75 lakhs to 2 crore are also available. Interested can contact on 9871516464 and 9873326985.Property SpecificationsSituated on the 18th floor of a 28 storeyed high-rise building, this well-planned flat is filled with an abundance of fresh air and sunlight, thus promising a pleasant atmosphere. Generously designed, this flat is the ultimate choice for families seeking a spacious and comfortable dwelling place in a prime location with proximity to all the key facilities.Facing the most auspicious east direction, this unfurnished flat can be decorated as per your family requirements. Talking about the layout, this abode encompasses 3 bedrooms, living cum dining area, normal kitchen, 2 bathrooms and 3 balconies. Both the bathrooms are western fashioned and are fitted with geysers for 24x7 hot water supply. One bathroom is attached to the bedroom whereas the other one is available for common use. Furthermore, individually linked with two bedrooms and living area, all three balconies are perfect for enjoying your morning or evening cup of tea/coffee. The entire abode is adorned with superior quality vitrified and wooden flooring.FacilitiesDLF Capital Greens boasts of luxurious amenities such as banquet hall, multipurpose hall, club house, flower gardens, park, indoor games room, indoor squash & badminton courts, kids play area, kids play pool with water slides, outdoor tennis courts, cycling & jogging track, swimming pool, gymnasium, multipurpose courts, jogging and strolling track.Other facilities such as water supply, covered parking (in the basement), lift, power backup, security with CCTV surveillance, waste disposal, laundry service, internet/wi-fi connectivity, maintenance staff, lift, reserved parking, visitor parking, dth television facility, rain water harvesting, water storage, intercom facility, fire fighting equipment are available.LocalitySeveral prestigious educational institutions, medical health care centers, shopping outlets, banks and ATM centers can be found within the vicinity of this property. Autos, buses, taxis and cabs are quickly available for commuting to other parts of the city. Also, the metro station can be found at a distance of 1.5km from this abode.
                            
more

",10937.5
165,24000000,"Cgu061., Kirti Nagar, New Delhi - West, Delhi NCR",1632,28.666059,77.150134,3,3,3,Ready to Move,Resale,1,,3,"Location AdvantageDLF Capital Greens located at Moti Nagar, Shivaji",Flat,"


                                Truly spacious and extremely gorgeous, this beautifully furnished 3 BHK Flat  is for sale in  DLF Capital Greens  Kirti Nagar, New Delhi and is also a perfect home for those looking for such kind of residential flat. So, hurry up and make the most of this opportunity!!!HIGHLIGHTSWelldesigned spaces dedicated to fitness.Contemporary and lavish apartments and building design.Surrounded by a healthy & green neighbourhood.Residences that are ecofriendly and handy.This Flat is supported with round the clock water supply, Power Back Up, Lift, Rain Water Harvesting, Club House, Swimming Pool, Gymnasium, Park, Reserved Parking, Security, Water Storage, Vaastu Compliant, Air Conditioned, Visitor Parking, Intercom Facility, Maintenance Staff, Waste Disposal, Laundry Service, Internet/Wi-Fi Connectivity, DTH Television Facility, Banquet Hall, Cafeteria/Food Court, Conference Room, Piped Gas, Jogging and Strolling TrackLocal bus stops and the other modes of public transport lie within a short distance. Some of the top-rated schools, well-known hospitals, and local clinics are found within the vicinity. Leading shopping malls, supermarkets, popular hotels, banks, and ATM centers are also easily accessible within close proximity.
                            
more

",14705.88235
175,3500000,"Upper Ground Floor Plot Number 101 Lane No 6  Dwarka Mor Delhi West Delhi, Dwarka Mor, New Delhi - West, Delhi NCR",800,28.63477325,77.04909515,3,2,1,Ready to Move,New Property,,Unfurnished,,Near Dwarka mod metro station,Flat,"
                    
                    
                    
                       Newly constructed
                    
                ",4375
176,12500000,"Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR",1700,28.57751279,77.04253534,2,2,3,Ready to Move,Resale,1,,2,"Opp. OPG World School, Near Sant Nirankari Chowk",Flat,"


                                East facing, beautifully furnished flat with world class amenities, right opposite OPG World School, All major markets within walking distance, just near the upcoming Golf Course and Embassy Enclave.. Beautiful exterior. Undoubtedly, the  address in Dwarka.. newly developed sector with great future prospects.. nearest to Gurgaon among all the Dwarka sectors
                            
more

",7352.941176
179,6000000,"Rr 9 top floor, naveen shahdara., Naveen Shahdara, New Delhi - East, Delhi NCR",1100,28.6761322,77.28523254,2,2,1,Ready to Move,Resale,,Furnished,,opp shahdra metro station,Flat,"
                    
                    
                    
                       metro station,bus station,railway station, 10 bank ,15 atm,6 hospitals,subji mandi,post office,GT road,4main market, with in 5 minutes walking distance
                    
                ",5454.545455
182,4100000,"E 55B Vishwakarma Colony MB Road New Delhi 110044, Vishwakarma Colony, New Delhi - South, Delhi NCR",900,28.52402496,77.21276093,3,2,1,Ready to Move,New Property,,Furnished,1,Near Indian Oil Petrol Pump,Flat,"


                                Situated in one of the elite residential areas in Vishwakarma Colony, New Delhi, a brand new constructed and well-planned 3BHK Residential Apartment is up for sale. Eye-catching interior designed and wonderful layout makes this apartment a masterpiece any family would love to own.Note - There is another 2BHK unit available for rent/sale in the next buildingProperty SpecificationsVaastu compliant, this apartment residing on the 2nd floor of a 4-storey building is an ideal dwelling that comes at a reasonable price. Moreover, vaastu compliance, freehold ownership and new construction are a few noteworthy features of this abode. Vaastu compliant homes bestow the residents with a prosperous and happy lifestyle. Semi-furnished, one of the roomy bedroom is tucked in with a wardrobe which provides plenty of space for storing your clothes. Also, one of the bedrooms has an attached bathroom and one bathroom is common to the flat, however, both the bathrooms are western fashioned and well-appointed with necessary bathroom accessories. One of the bathrooms is also appointed with a branded geyser to ensure hot water supply all throughout the seasons. This flat also constitutes one large balcony which is connected to the bedroom and provides unblocked views of the street and the surrounding buildings. The modular kitchen is quite impressively, gives you an enjoyable cooking experience and is equipped with cabinets, chimney and exhaust fan.Furthermore, the flooring of all the rooms is seamlessly designed with high-quality and double charge gloss finished ceramic tiles of size 4/2. Additionally, the flat is favoured with plenty of natural light and fresh air all throughout the day which in turn reduces the cost of artificial lighting during the day time.FacilitiesAll the apartments in this building are benefitted with 24 hours water supply and parking space for placing 4 cars and 4 2-wheelers. There is a separate 300- liter underground water tank and a 1000 liter tank on the roof with a separate pump for each flat.LocalityVarious famous schools, shopping malls, banks, ATMs, hospitals, etc., are all accessible within a short distance. For any kind of shopping, Crown interiorz mall is accessible within 4km. Manav Rachna International School lies within 1km, Surajkund International School and St. Columba's School are 2km whereas Manav Rachna University is dotted only within 7km. Tughlakabad Station metro station as well as Tughlakabad railway station are accessible only within 1km. Banks and ATMs such as HDFC Bank, ICICI Bank, Axis Bank, Union Bank and SBI Bank are also dotted within 1km.

more

",4555.555556
184,7500000,"342 Durgapuri Extension Delhi India, Durgapuri Extension, New Delhi - East, Delhi NCR",1250,28.68654251,77.29959869,3,2,2,Ready to Move,Resale,2,Semi-Furnished,1,nearby Kala niketan school,Flat,"


                                Newly constructed & masterfully planned, here is the most fantastic 3BHK builder floor up for sale and is located in one of the prime residential suburbs of Durgapuri Extension, New Delhi. So, without having any second opinion, grab this property as soon as possible…!Property SpecificationsWith its most favorable east direction, this 100% vaastu compliant builder floor is ready to move and is comfortably rested on the topmost floor of the 4-storeyed building thus receives ample natural light & ventilation all along the day.Benefited with freehold ownership rights, this semi-furnished builder floor comprises 3 bedrooms, 2 bathrooms, 2 balconies (1 front & 1 rear), 1 store room, a living cum dining area, false ceiling in all the rooms and a modular kitchen.   All the bedrooms are well-appointed with lights, fans and wardrobes to offer you enough convenient storage space. Designed in a western mode & outfitted with top quality geysers, 1 bathroom is attached whereas 1 bathroom is common.For a fabulous look, all the rooms are finely covered with the vitrified tiles on the flooring.FacilitiesA covered parking slot is allotted for this residence to place your vehicles safely. An adequate amount of water supply for 24hours is provided in this builder floor. For safety purposes, security guard, video door phone and CCTV cameras are installed for 24/7 surveillance.  LocalityThe most prominent Kala Niketan School is found at a walking distance and is a remarkable landmark for it. You can find Jyoti Nursing Home at 250m and Guru Teg Bahadur Hospital at 2kms for any healthcare problems. Plenty of recognized banks and ATM centers are available close by to meet your monetary services. For commuting to other places comfortably, you can access the Shahdara Railway Station at a distance of 1.5kms and different public transports like autos, buses & taxis within the proximity of this builder floor.
                            
more

",6000
